2018-11-06 16:32:54, -21, 1019
2018-11-06 16:32:55, -21, 1041
2018-11-06 16:32:57, -21, 1090
2018-11-06 16:32:58, -21, 1092
2018-11-06 16:32:59, -20, 1180
2018-11-06 16:32:59, -21, 1020
2018-11-06 16:33:00, -21, 1092
2018-11-06 16:33:00, -20, 1114
2018-11-06 16:33:01, -21, 1020
2018-11-06 16:33:01, -19, 1174
2018-11-06 16:33:01, -21, 1058
2018-11-06 16:33:01, -20, 1278
2018-11-06 16:33:03, -20, 1293
2018-11-06 16:33:03, -21, 1004
2018-11-06 16:33:05, -20, 1114
2018-11-06 16:33:05, -21, 1092
2018-11-06 16:33:05, -21, 1041
2018-11-06 16:33:06, -20, 1151
2018-11-06 16:33:08, -20, 1112
2018-11-06 16:33:08, -21, 946
2018-11-06 16:33:10, -21, 1095
2018-11-06 16:33:10, -20, 1006
2018-11-06 16:33:10, -20, 1070
2018-11-06 16:33:11, -21, 1019
2018-11-06 16:33:11, -20, 1218
2018-11-06 16:33:11, -21, 1126
2018-11-06 16:33:11, -20, 1193
2018-11-06 16:33:12, -21, 1053
2018-11-06 16:33:14, -21, 1186
2018-11-06 16:33:17, -18, 1473
2018-11-06 16:33:18, -19, 1289
2018-11-06 16:33:24, -21, 1020
2018-11-06 16:33:24, -18, 1509
2018-11-06 16:33:25, -21, 935
2018-11-06 16:33:29, -21, 912
2018-11-06 16:33:29, -21, 946
2018-11-06 16:33:30, -20, 1175
2018-11-06 16:33:30, -20, 1079
2018-11-06 16:33:32, -21, 1017
2018-11-06 16:33:33, -20, 1071
2018-11-06 16:33:33, -21, 1054
2018-11-06 16:33:33, -20, 1006
2018-11-06 16:33:34, -20, 1133
2018-11-06 16:33:34, -20, 1186
2018-11-06 16:33:36, -21, 986
2018-11-06 16:33:39, -21, 1292
2018-11-06 16:33:39, -21, 912
2018-11-06 16:33:39, -20, 1116
2018-11-06 16:33:39, -21, 1128
2018-11-06 16:33:40, -20, 1102
2018-11-06 16:33:40, -21, 984
2018-11-06 16:33:40, -19, 1224
2018-11-06 16:33:41, -21, 1018
2018-11-06 16:33:43, -20, 1046
2018-11-06 16:33:45, -20, 1151
2018-11-06 16:33:47, -19, 1275
2018-11-06 16:33:47, -21, 969
2018-11-06 16:33:47, -21, 1116
2018-11-06 16:33:48, -20, 1203
2018-11-06 16:33:49, -18, 1270
2018-11-06 16:33:50, -19, 1270
2018-11-06 16:33:51, -18, 1378
2018-11-06 16:33:51, -21, 912
2018-11-06 16:33:57, -19, 1094
2018-11-06 16:33:58, -21, 1095
2018-11-06 16:33:59, -18, 1364
2018-11-06 16:33:59, -21, 984
